# All results are based on NASS CropScape crops
Field-ID or HRU-ID, NASS CropScape Year, Vegetation or Crop, Confidence-Value(fraction)
0,2008,Fallow/Idle Cropland,0.201
0,2008,Winter Wheat,0.195
0,2008,Other Hay/Non Alfalfa,0.084
0,2008,Grass/Pasture,0.072
0,2008,Developed/Open Space,0.002
0,2009,Grass/Pasture,0.353
0,2009,Fallow/Idle Cropland,0.216
0,2009,Winter Wheat,0.055
0,2009,Developed/Open Space,0.006
0,2009,Corn,0.005
0,2009,Other Hay/Non Alfalfa,0.004
0,2009,Dry Beans,0.003
0,2009,Sunflower,0.003
0,2009,Alfalfa,0.002
0,2010,Grass/Pasture,0.242
0,2010,Fallow/Idle Cropland,0.23
0,2010,Winter Wheat,0.191
0,2010,Other Hay/Non Alfalfa,0.015
0,2010,Developed/Open Space,0.005
0,2010,Barley,0.004
0,2010,Oats,0.001
0,2010,Triticale,0.0
0,2011,Grass/Pasture,0.264
0,2011,Winter Wheat,0.255
0,2011,Fallow/Idle Cropland,0.088
0,2011,Other Hay/Non Alfalfa,0.017
0,2011,Developed/Open Space,0.005
0,2011,Alfalfa,0.001
0,2012,Winter Wheat,0.333
0,2012,Grass/Pasture,0.256
0,2012,Fallow/Idle Cropland,0.108
0,2012,Other Hay/Non Alfalfa,0.092
0,2012,Alfalfa,0.01
0,2012,Developed/Open Space,0.009
0,2012,Corn,0.002
0,2013,Grass/Pasture,0.308
0,2013,Fallow/Idle Cropland,0.199
0,2013,Winter Wheat,0.198
0,2013,Developed/Open Space,0.008
0,2013,Other Hay/Non Alfalfa,0.003
0,2013,Corn,0.002
0,2013,Alfalfa,0.002
0,2014,Grass/Pasture,0.307
0,2014,Fallow/Idle Cropland,0.249
0,2014,Winter Wheat,0.2
0,2014,Other Hay/Non Alfalfa,0.05
0,2014,Developed/Open Space,0.009
0,2014,Rye,0.002
0,2014,Corn,0.002
0,2014,Alfalfa,0.001
0,2014,Sunflower,0.001
0,2014,Oats,0.001
0,2015,Grass/Pasture,0.441
0,2015,Winter Wheat,0.234
0,2015,Fallow/Idle Cropland,0.174
0,2015,Developed/Open Space,0.011
0,2015,Other Hay/Non Alfalfa,0.005
0,2015,Corn,0.005
0,2015,Alfalfa,0.001
0,2016,Grass/Pasture,0.453
0,2016,Winter Wheat,0.225
0,2016,Fallow/Idle Cropland,0.204
0,2016,Developed/Open Space,0.011
0,2016,Corn,0.005
0,2016,Other Hay/Non Alfalfa,0.004
0,2016,Alfalfa,0.001
0,2016,Barley,0.001
0,2017,Grass/Pasture,0.447
0,2017,Winter Wheat,0.252
0,2017,Fallow/Idle Cropland,0.166
0,2017,Developed/Open Space,0.007
0,2017,Other Hay/Non Alfalfa,0.004
0,2017,Alfalfa,0.001
0,2017,Oats,0.0
0,2018,Grass/Pasture,0.448
0,2018,Fallow/Idle Cropland,0.203
0,2018,Winter Wheat,0.171
0,2018,Rye,0.025
0,2018,Other Hay/Non Alfalfa,0.016
0,2018,Developed/Open Space,0.007
0,2018,Corn,0.002
0,2018,Alfalfa,0.001
0,2018,Millet,0.001
1,2008,Alfalfa,0.735
1,2008,Corn,0.066
1,2008,Winter Wheat,0.035
1,2008,Sod/Grass Seed,0.012
1,2008,Oats,0.005
1,2008,Grass/Pasture,0.002
1,2009,Alfalfa,0.651
1,2009,Corn,0.138
1,2009,Grass/Pasture,0.039
1,2009,Other Hay/Non Alfalfa,0.02
1,2009,Sod/Grass Seed,0.011
1,2010,Fallow/Idle Cropland,0.542
1,2010,Dry Beans,0.123
1,2010,Alfalfa,0.043
1,2010,Grass/Pasture,0.036
1,2010,Corn,0.035
1,2010,Other Hay/Non Alfalfa,0.01
1,2010,Barley,0.009
1,2011,Winter Wheat,0.543
1,2011,Barley,0.129
1,2011,Corn,0.127
1,2011,Alfalfa,0.098
1,2012,Corn,0.692
1,2012,Sugarbeets,0.06
1,2012,Fallow/Idle Cropland,0.054
1,2012,Alfalfa,0.043
1,2012,Winter Wheat,0.012
1,2012,Dry Beans,0.007
1,2012,Herbaceous Wetlands,0.002
1,2013,Winter Wheat,0.367
1,2013,Alfalfa,0.213
1,2013,Fallow/Idle Cropland,0.14
1,2013,Oats,0.08
1,2013,Grass/Pasture,0.015
1,2013,Sorghum,0.008
1,2014,Alfalfa,0.717
1,2014,Corn,0.09
1,2014,Other Hay/Non Alfalfa,0.032
1,2014,Fallow/Idle Cropland,0.011
1,2014,Sorghum,0.008
1,2015,Alfalfa,0.87
1,2016,Alfalfa,0.872
1,2017,Alfalfa,0.877
1,2018,Alfalfa,0.848
2,2008,Winter Wheat,0.772
2,2008,Alfalfa,0.056
2,2008,Barley,0.05
2,2008,Corn,0.029
2,2009,Corn,0.536
2,2009,Sugarbeets,0.149
2,2009,Alfalfa,0.114
2,2009,Dry Beans,0.052
2,2009,Grass/Pasture,0.034
2,2010,Alfalfa,0.498
2,2010,Barley,0.115
2,2010,Corn,0.091
2,2010,Oats,0.031
2,2010,Sugarbeets,0.027
2,2010,Other Hay/Non Alfalfa,0.026
2,2010,Dry Beans,0.018
2,2011,Alfalfa,0.672
2,2011,Barley,0.071
2,2011,Winter Wheat,0.061
2,2011,Sugarbeets,0.057
2,2012,Alfalfa,0.806
2,2012,Fallow/Idle Cropland,0.028
2,2012,Triticale,0.014
2,2013,Alfalfa,0.78
2,2013,Corn,0.059
2,2013,Fallow/Idle Cropland,0.056
2,2014,Alfalfa,0.773
