@T, till
name, till.csv
descr, default tillage input parameters
# tillage information
# Mon Apr 15 17:46:18 MDT 2019
# TID = Tillage ID
# tillnm = Tillage name
# desc = description
# effmix = efficiency soil mixing fraction
# deptil = Tillage depth in mm
# LAMPS provided information are starting with TID 79 
 
@H,TID,tillnm,desc,effmix,deptil
,1,FALLPLOW,GENERIC FALL PLOWING OPERATION,0.95,150
,2,SPRGPLOW,GENERIC SPRING PLOWING OPERATION,0.5,125
,3,CONSTILL,GENERIC CONSERVATION TILLAGE,0.25,100
,4,ZEROTILL,GENERIC NO-TILL MIXING,0.05,25
,5,DUCKFTC,DUCKFOOT CULTIVATOR,0.55,100
,6,FLDCULT,FIELD CULTIVATOR,0.3,100
,7,FUROWOUT,FURROW-OUT CULTIVATOR,0.75,25
,8,MARKER,MARKER (CULTIVATOR),0.45,100
,9,ROLLCULT,ROLLING CULTIVATOR,0.5,25
,10,ROWCULT,ROW CULTIVATOR,0.25,25
,11,DISCOVAT,DISCOVATOR,0.5,25
,12,LEVELER,LEVELER,0.5,25
,13,HARROW,HARROW (TINES),0.2,25
,14,CULMULCH,CULTI-MULCH ROLLER,0.25,25
,15,CULPKPUL,CULTI-PACKER PULVERIZER,0.35,40
,16,LANDLEVL,LAND PLANE-LEVELER,0.5,75
,17,LANDALL, LANDALL DO-ALL,0.3,150
,18,LASRPLAN,LASER PLANER,0.3,150
,19,LEVPLDIS,LEVEE-PLOW-DISC,0.75,25
,20,FLOAT,FLOAT,0.1,60
,21,FLDCDSCR,FIELD COND (SCRATCHER),0.1,60
,22,LISTRMID,LISTER (MIDDLE-BUSTER),0.15,40
,23,ROLLGROV,ROLLER GROOVER,0.25,60
,24,ROLPKRAT,ROLLER PACKER ATTACHMENT,0.05,40
,25,ROLPKRFT,ROLLER PACKER FLAT ROLLER,0.35,40
,26,SANDFIGT,SAND-FIGHTER,0.7,100
,27,SEEDROLL,SEEDBED ROLLER,0.7,100
,28,CRUSTBST,CRUST BUSTER,0.1,60
,29,ROLLHRRW,ROLLER HARROW,0.4,60
,30,TRIPLE K,TRIPLE K,0.4,100
,31,FINHARRW,FINISHING HARROW,0.55,100
,32,FLEXHARW,FLEX-TINE HARROW CL,0.2,25
,33,SPIKETTH,POWERED SPIKE TOOTH HARROW,0.4,75
